# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 ProbabilityDensity_0
# 3 ProbabilityDensity_1
# 4 ProbabilityDensity_2
# 5 ProbabilityDensity_3
# 6 ProbabilityDensity_4
# 7 ProbabilityDensity_5
# 8 ProbabilityDensity_6
# 9 ProbabilityDensity_7
# 10 ProbabilityDensity_8
# 11 ProbabilityDensity_9
# 12 ProbabilityDensity_10
# 13 ProbabilityDensity_11
# 14 ProbabilityDensity_12
# 15 ProbabilityDensity_13
# 16 ProbabilityDensity_14
# 17 ProbabilityDensity_15
# 18 ProbabilityDensity_16
# 19 ProbabilityDensity_17
# 20 ProbabilityDensity_18
# 21 ProbabilityDensity_19
# x ProbabilityDensity_0 ProbabilityDensity_1 ProbabilityDensity_2 ProbabilityDensity_3 ProbabilityDensity_4 ProbabilityDensity_5 ProbabilityDensity_6 ProbabilityDensity_7 ProbabilityDensity_8 ProbabilityDensity_9 ProbabilityDensity_10 ProbabilityDensity_11 ProbabilityDensity_12 ProbabilityDensity_13 ProbabilityDensity_14 ProbabilityDensity_15 ProbabilityDensity_16 ProbabilityDensity_17 ProbabilityDensity_18 ProbabilityDensity_19 
1559 1.3818e-12 1.74094e-10 2.35017e-08 7.54276e-09 3.43297e-08 3.40998e-08 5.27167e-08 6.99648e-08 8.14631e-08 1.12008e-07 1.21411e-07 1.58768e-07 1.73113e-07 2.10389e-07 2.36504e-07 2.6882e-07 3.09678e-07 3.36714e-07 3.89309e-07 4.1648e-07 
1559.06 0.293791 36.9887 4992.02 1601.54 7286.06 7233.39 11174.6 14820.5 17239.5 23682.7 25640.6 33493 36470.3 44262.5 49683.7 56379.1 64843.3 70370.7 81215 86702.9 
1559.11 1.17635 147.79 19930.9 6386.77 29018.7 28762.4 44340.8 58683.9 68064.4 93256.5 100608 130981 142048 171683 191853 216616 247914 267494 307008 325674 
1559.17 2.6513 331.915 44706.1 14298 64825.1 64078.8 98438.5 129823 149844 204395 219190 283766 305646 366817 406825 455422 516870 552195 627761 658670 
1559.22 4.72478 588.569 79136.2 25240.4 114093 112352 171743 225378 258349 350193 372364 478225 510091 606029 664852 735130 824215 867917 973011 1.00455e+06 
1559.28 7.40559 916.657 122972 39083.7 175984 172449 261922 341511 387980 521606 548483 697036 733943 860360 930247 1.01164e+06 1.1157e+06 1.15196e+06 1.26694e+06 1.27907e+06 
1559.33 10.7053 1314.81 175899 55664.1 249450 242965 366115 473572 532054 708012 734171 920724 953741 1.09904e+06 1.16633e+06 1.24138e+06 1.3399e+06 1.34795e+06 1.44503e+06 1.4154e+06 
1559.39 14.6385 1781.39 237541 74786.7 333252 322257 481023 616280 683158 897876 915342 1.1294e+06 1.14647e+06 1.29323e+06 1.34049e+06 1.38817e+06 1.45728e+06 1.41702e+06 1.46823e+06 1.38036e+06 
1559.44 19.2226 2314.53 307467 96228.4 425985 408484 603020 763942 833528 1.07947e+06 1.07827e+06 1.30454e+06 1.29198e+06 1.41947e+06 1.42871e+06 1.42893e+06 1.44719e+06 1.34549e+06 1.33148e+06 1.18253e+06 
1559.5 24.4788 2912.13 385192 119741 526099 499653 728265 910681 975455 1.24159e+06 1.21063e+06 1.4306e+06 1.37506e+06 1.46256e+06 1.41884e+06 1.35728e+06 1.31145e+06 1.1476e+06 1.06483e+06 870108 
1559.55 30.4312 3571.88 470184 145053 631934 593662 852828 1.05067e+06 1.10168e+06 1.37425e+06 1.30243e+06 1.49643e+06 1.38707e+06 1.41732e+06 1.31229e+06 1.18455e+06 1.07402e+06 862637 726809 519145 
1559.61 37.108 4291.3 561870 171877 741740 688354 972812 1.17837e+06 1.20575e+06 1.46931e+06 1.34675e+06 1.49623e+06 1.32679e+06 1.28926e+06 1.1238e+06 937951 776786 547137 391582 215049 
1559.66 44.5414 5067.73 659637 199908 853716 781568 1.08448e+06 1.28874e+06 1.28239e+06 1.52096e+06 1.34029e+06 1.43008e+06 1.20058e+06 1.09389e+06 879409 656308 472130 263659 132658 31796.1 
1559.72 52.7677 5898.4 762842 228833 966034 871183 1.18436e+06 1.37744e+06 1.3277e+06 1.52606e+06 1.28359e+06 1.30388e+06 1.02164e+06 854811 612849 383931 213718 68388.2 6796.85 13950.9 
1559.77 61.8278 6780.4 870818 258329 1.07687e+06 955174 1.26937e+06 1.441e+06 1.33943e+06 1.48435e+06 1.18096e+06 1.12885e+06 808702 600870 360873 163645 47049.2 12.7284 41581.6 165855 
1559.83 71.7676 7710.71 982874 288070 1.18445e+06 1.03165e+06 1.3369e+06 1.47696e+06 1.317e+06 1.39845e+06 1.04019e+06 920534 583997 362689 158202 30066.2 1453.71 72075.4 229396 450599 
1559.88 82.6384 8686.27 1.09831e+06 317733 1.28704e+06 1.09891e+06 1.38489e+06 1.48395e+06 1.26163e+06 1.27367e+06 871935 697380 370974 168964 32746.4 4174.81 84954.3 270315 529121 799013 
1559.94 94.497 9703.93 1.2164e+06 346997 1.38303e+06 1.15545e+06 1.41189e+06 1.46174e+06 1.17616e+06 1.11773e+06 688895 479138 191840 43019 1772.8 90037.4 282874 555512 875159 1.12649e+06 
1559.99 107.407 10760.5 1.33644e+06 375549 1.4709e+06 1.20004e+06 1.41713e+06 1.41127e+06 1.06498e+06 940204 504869 285098 65252.3 6.32255 69542.9 274187 560439 871266 1.19181e+06 1.35356e+06 
1560.05 121.438 11852.9 1.4577e+06 403088 1.54929e+06 1.23172e+06 1.40048e+06 1.33456e+06 933789 751998 333712 132391 4383.75 45098.3 226745 527754 868906 1.15517e+06 1.40984e+06 1.42512e+06 
