# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
359.305 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 6.62912e-20 0 0 
366.905 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 6.76934e-20 0 0 
374.454 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 6.90863e-20 0 0 
381.954 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.047e-20 0 0 
389.404 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.18445e-20 0 0 
396.805 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.321e-20 0 0 
404.157 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.45664e-20 0 0 
411.461 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.59139e-20 0 0 
418.716 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.72524e-20 0 0 
425.923 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.85821e-20 0 0 
433.082 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.9903e-20 0 0 
440.194 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.12152e-20 0 0 
447.259 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.25187e-20 0 0 
454.277 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.38135e-20 0 0 
461.249 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.50998e-20 0 0 
468.175 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.63776e-20 0 0 
475.055 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.76469e-20 0 0 
481.889 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 8.89079e-20 0 0 
488.678 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.01604e-20 0 0 
495.423 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.14048e-20 0 0 
502.122 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.26408e-20 0 0 
508.778 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.38687e-20 0 0 
515.389 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.50885e-20 0 0 
521.956 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.63002e-20 0 0 
528.481 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.75039e-20 0 0 
534.962 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.86997e-20 0 0 
541.4 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.98875e-20 0 0 
547.795 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.01067e-19 0 0 
554.149 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.0224e-19 0 0 
560.46 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.03404e-19 0 0 
566.729 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.04561e-19 0 0 
572.957 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.0571e-19 0 0 
579.144 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.06851e-19 0 0 
585.29 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.07985e-19 0 0 
591.395 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.09112e-19 0 0 
597.46 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.10231e-19 0 0 
603.485 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.11342e-19 0 0 
609.47 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.12446e-19 0 0 
615.415 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.13543e-19 0 0 
621.321 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.14633e-19 0 0 
627.188 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.15715e-19 0 0 
633.016 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.16791e-19 0 0 
638.805 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.17859e-19 0 0 
644.557 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.1892e-19 0 0 
650.27 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.19974e-19 0 0 
655.945 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.21021e-19 0 0 
661.583 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.22061e-19 0 0 
667.184 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.23094e-19 0 0 
672.747 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.24121e-19 0 0 
678.274 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.25141e-19 0 0 
683.764 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.26154e-19 0 0 
689.218 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.2716e-19 0 0 
694.636 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.28159e-19 0 0 
700.018 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.29152e-19 0 0 
705.364 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.30139e-19 0 0 
710.675 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.31119e-19 0 0 
715.951 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.32092e-19 0 0 
721.192 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.33059e-19 0 0 
726.398 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.3402e-19 0 0 
731.57 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.34974e-19 0 0 
736.708 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.35922e-19 0 0 
741.812 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.36863e-19 0 0 
746.882 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.37799e-19 0 0 
751.918 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.38728e-19 0 0 
756.921 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.39651e-19 0 0 
761.891 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.40568e-19 0 0 
766.828 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.41479e-19 0 0 
771.733 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.42384e-19 0 0 
776.605 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.43282e-19 0 0 
781.444 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.44175e-19 0 0 
786.252 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.45062e-19 0 0 
791.028 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.45944e-19 0 0 
795.773 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.46819e-19 0 0 
800.486 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.47688e-19 0 0 
805.167 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.48552e-19 0 0 
809.818 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.4941e-19 0 0 
814.438 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.50263e-19 0 0 
819.028 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.51109e-19 0 0 
823.587 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.51951e-19 0 0 
828.116 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.52786e-19 0 0 
832.615 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.53616e-19 0 0 
837.084 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.54441e-19 0 0 
841.524 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.5526e-19 0 0 
845.934 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.56074e-19 0 0 
850.316 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.56882e-19 0 0 
854.668 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.57685e-19 0 0 
858.991 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.58483e-19 0 0 
863.286 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.59275e-19 0 0 
867.553 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.60062e-19 0 0 
871.791 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.60844e-19 0 0 
876.001 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.61621e-19 0 0 
880.183 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.62393e-19 0 0 
884.338 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.63159e-19 0 0 
888.465 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.63921e-19 0 0 
892.565 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.64677e-19 0 0 
896.638 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.65428e-19 0 0 
900.684 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.66175e-19 0 0 
904.703 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.66916e-19 0 0 
908.695 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.67653e-19 0 0 
912.661 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.68385e-19 0 0 
916.601 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.69112e-19 0 0 
920.515 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.69834e-19 0 0 
924.403 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.70551e-19 0 0 
928.265 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.71264e-19 0 0 
932.101 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.71971e-19 0 0 
935.913 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.72675e-19 0 0 
939.699 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.73373e-19 0 0 
943.46 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.74067e-19 0 0 
947.196 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.74756e-19 0 0 
950.907 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.75441e-19 0 0 
954.594 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.76121e-19 0 0 
958.257 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.76797e-19 0 0 
961.895 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.77468e-19 0 0 
965.509 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.78135e-19 0 0 
969.099 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.78797e-19 0 0 
972.666 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.79455e-19 0 0 
976.209 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.80109e-19 0 0 
979.728 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.80758e-19 0 0 
983.224 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.81404e-19 0 0 
986.698 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.82044e-19 0 0 
990.148 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.82681e-19 0 0 
993.575 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.83313e-19 0 0 
996.98 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.83941e-19 0 0 
1000.36 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.84565e-19 0 0 
1003.72 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.85185e-19 0 0 
1007.06 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.85801e-19 0 0 
1010.37 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.86413e-19 0 0 
1013.67 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.8702e-19 0 0 
1016.94 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.87624e-19 0 0 
1020.19 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.88224e-19 0 0 
1023.42 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.88819e-19 0 0 
1026.63 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.89411e-19 0 0 
1029.81 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.89999e-19 0 0 
1032.98 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.90583e-19 0 0 
1036.12 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.91163e-19 0 0 
1039.24 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.91739e-19 0 0 
1042.35 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.92311e-19 0 0 
1045.43 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.9288e-19 0 0 
1048.49 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.93445e-19 0 0 
1051.53 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.94006e-19 0 0 
1054.55 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.94563e-19 0 0 
1057.55 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.95117e-19 0 0 
1060.54 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.95667e-19 0 0 
1063.5 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.96214e-19 0 0 
1066.44 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.96757e-19 0 0 
1069.36 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.97296e-19 0 0 
1072.27 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.97831e-19 0 0 
1075.15 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.98364e-19 0 0 
